pm_start,pm_end,length,lanes,on_ramp,off_ramp,on_ramp_name,off_ramp_name,caltrans_pm_start,caltrans_pm_end,length_warning,vds_id,vds_pm,vds_lanes,vds_source,vds_distance_mi,vds_n_candidates,on_ramp_vds_id,off_ramp_vds_id
0.0,0.674863,0.674863,4,False,False,,,28.20000076,27.499999496769437,ok,400190,0.08319214453172048,4,direct_tiebreak,0.0,2,,
0.674863,1.171556,0.49669300000000005,4,True,True,,,27.499999496769437,26.999999517256622,ok,400190,0.08319214453172048,4,nearest_upstream,-0.8400173554682795,0,403031,
1.171556,1.882883,0.711327,4,False,False,,,26.999999517256622,26.299998916638973,ok,400956,1.811299680276563,4,direct,0.0,1,,
1.882883,2.405378,0.5224949999999997,4,True,True,,,26.299998916638973,25.700000801697353,ok,400956,1.811299680276563,4,nearest_upstream,-0.3328308197234371,0,403027,
2.405378,2.716521,0.3111430000000004,4,False,False,,,25.700000801697353,25.399999960549376,ok,400793,2.621876657795178,4,direct,0.0,1,,
2.716521,2.929558,0.21303699999999992,4,True,False,,,25.399999960549376,25.200001017769484,ok,400740,2.811801753596989,5,direct,0.0,1,410372,
2.929558,3.173507,0.24394899999999975,6,True,True,,,25.200001017769484,25.000000363433763,ok,400740,2.811801753596989,5,nearest_upstream,-0.23973074640301117,0,,
3.173507,3.415605,0.24209799999999992,5,False,False,,,25.000000363433763,24.70000089295833,ok,400134,3.393713820787864,5,direct,0.0,1,,
3.415605,3.543115,0.12751,5,True,False,,,24.70000089295833,24.600000115878935,too_short,400442,3.5431147439583706,5,direct,0.0,1,403023,
3.543115,4.318644,0.7755290000000001,5,True,True,,,24.600000115878935,23.799999164216235,ok,410370,4.111949844252725,5,direct,0.0,1,403019,403013
4.318644,4.5084,0.18975600000000004,5,False,False,,,23.799999164216235,23.6000001935026,too_short,410370,4.111949844252725,5,nearest_upstream,-0.3015721557472757,0,,
4.5084,4.599798,0.09139799999999987,5,True,False,,,23.6000001935026,23.499999769374373,too_short,410370,4.111949844252725,5,nearest_upstream,-0.4421491557472752,0,403015,
4.599798,5.0295,0.4297019999999998,6,True,True,,,23.499999769374373,23.100000658972647,ok,400192,4.791248922572798,6,direct_tiebreak,0.0,3,403014,
5.0295,5.261141,0.23164100000000065,5,False,True,,,23.100000658972647,22.899999520528908,ok,400192,4.791248922572798,6,nearest_upstream,-0.3540715774272023,0,,
5.261141,5.495573,0.23443199999999997,5,False,False,,,22.899999520528908,22.60000038,ok,400942,5.4225512398526226,5,direct,0.0,1,,
