1118,24,0,60,26,0,0,54,235.871819950489,0,0,48,60,0,12,0,60,0,60,12,0,36,18,0,24,12,12,0,12,0,48,18,0,0,120,0,114.84,0,0,0,0
1118,24,0,36,26,0,0,30,235.871819950489,0,0,24,36,0,72,0,60,0,48,24,0,126,18,0,24,12,24,0,72,0,24,54,0,0,96,0,104.4,0,0,0,0
1118,24,0,36,26,0,0,42,235.871819950489,0,0,48,0,0,60,0,12,0,48,36,0,18,54,0,24,24,0,0,36,0,84,18,0,0,144,0,41.76,0,0,0,0
1118,24,0,24,26,0,0,36,235.871819950489,0,0,48,60,0,48,0,36,0,24,24,0,54,0,0,24,24,24,0,72,0,24,18,0,0,24,0,52.2,0,0,0,0
1118,24,0,12,26,0,0,12,196.559849958741,0,0,12,24,0,48,0,72,0,60,24,0,36,0,0,24,72,12,0,12,0,48,36,0,0,192,0,93.96,0,0,0,0
1118,24,0,60,26,0,0,72,157.247879966993,0,0,84,0,0,24,0,0,0,0,0,0,18,0,0,12,60,12,0,24,0,12,108,0,0,96,0,31.32,0,0,0,0
824,17,0,12,27,0,0,18,157.247879966993,0,0,24,48,0,60,0,24,0,0,0,0,108,18,0,12,0,0,0,12,0,0,126,0,0,72,0,20.88,0,0,0,0
824,17,0,36,27,0,0,30,157.247879966993,0,0,24,36,0,36,0,0,0,60,12,0,72,18,0,24,24,36,0,24,0,24,36,0,0,72,0,135.72,0,0,0,0
824,17,0,0,27,0,0,6,196.559849958741,0,0,12,12,0,12,0,36,0,36,0,0,36,54,0,12,0,48,0,0,0,48,72,0,0,24,0,104.4,0,0,0,0
824,17,0,48,27,0,0,36,157.247879966993,0,0,24,12,0,60,0,24,0,84,0,0,36,0,0,12,12,12,0,0,0,24,36,0,0,96,0,62.64,0,0,0,0
824,17,0,36,27,0,0,30,157.247879966993,0,0,24,0,0,48,0,12,0,24,0,0,54,0,0,12,12,12,0,12,0,36,18,0,0,48,0,20.88,0,0,0,0
824,17,0,36,27,0,0,24,157.247879966993,0,0,12,0,0,36,0,24,0,12,24,0,36,36,0,12,48,24,0,0,0,24,18,0,0,24,0,10.44,0,0,0,0
824,17,0,24,27,0,0,30,157.247879966993,0,0,36,0,0,12,0,0,0,12,24,0,18,0,0,0,12,0,0,36,0,36,18,0,0,96,0,41.76,0,0,0,0
824,17,0,0,27,0,0,0,157.247879966993,0,0,0,12,0,36,0,0,0,0,24,0,0,36,0,0,48,12,0,12,0,60,18,0,0,168,0,41.76,0,0,0,0
824,17,0,12,27,0,0,6,157.247879966993,0,0,0,12,0,36,0,36,0,24,0,0,18,18,0,12,12,36,0,12,0,36,54,0,0,72,0,52.2,0,0,0,0
824,17,0,48,27,0,0,36,157.247879966993,0,0,24,24,0,12,0,24,0,12,24,0,54,0,0,24,36,12,0,0,0,24,0,0,0,144,0,62.64,0,0,0,0
824,17,0,24,27,0,0,24,157.247879966993,0,0,24,12,0,24,0,36,0,12,0,0,18,0,0,24,36,0,0,12,0,24,0,0,0,144,0,52.2,0,0,0,0
824,17,0,48,27,0,0,42,157.247879966993,0,0,36,12,0,0,0,36,0,60,24,0,0,0,0,24,12,12,0,12,0,24,72,0,0,96,0,31.32,0,0,0,0
846,16,0,12,23,0,0,18,157.247879966993,0,0,24,12,0,0,0,36,0,60,12,0,18,18,0,48,12,36,0,12,0,24,0,0,0,24,0,31.32,0,0,0,0
846,16,0,84,23,0,0,48,117.935909975245,0,0,12,12,0,24,0,12,0,24,0,0,36,0,0,0,24,24,0,36,0,12,0,0,0,96,0,52.2,0,0,0,0
846,16,0,12,23,0,0,12,157.247879966993,0,0,12,24,0,12,0,0,0,48,12,0,18,0,0,48,12,12,0,24,0,12,36,0,0,0,0,31.32,0,0,0,0
