length,q_max,v_f,w,rho_jam,rho_crit,on_ramp,off_ramp,on_ramp_capacity,off_ramp_capacity,lanes
0.581847,7808.40018,63.09023243,5.249334573,1611.2684534999999,123.76559540000001,False,False,,,5
0.267768,7808.40018,63.09023243,5.249334573,1611.2684534999999,123.76559540000001,True,True,1212.0,876.0,5
0.461322,7977.08079,59.8139423,1.427312102,5722.24822,133.364906,False,False,,,5
0.697278,7977.08079,59.8139423,1.427312102,5722.24822,133.364906,True,False,888.0,,5
0.697278,7977.08079,59.8139423,1.427312102,5722.24822,133.364906,False,True,,,5
0.508768,5826.083672,60.95257124,3.402835767,1807.7099112,95.58388684,False,True,,,4
0.532436,5879.745132,59.19450871,3.57721491,1742.9948444,99.32923276,True,False,1080.0,,4
0.930581,7349.681415,59.19450871,3.57721491,2178.7435554999997,124.16154094999999,True,False,696.0,,5
0.671135,7349.681415,59.19450871,3.57721491,2178.7435554999997,124.16154094999999,False,True,,,5
0.365074,5879.745132,59.19450871,3.57721491,1742.9948444,99.32923276,False,False,,,4
0.269883,7917.021774999999,62.91303515,9.819716003,932.0780685,125.84072210000001,True,True,1092.0,1044.0,5
0.472736,6805.239608,57.56772057,10.8552097,745.1227768,118.2127682,False,False,,,4
0.752489,7508.762144,57.53378528,12.46278993,733.004964,130.51048368,True,True,1188.0,,4
0.263077,6197.236384,60.48396555,9.518306628,753.5468352,102.46081468,False,False,,,4
0.207389,6883.40549,63.76875417,7.798125699,990.643225,107.94323305,True,False,828.0,,5
0.24975,6883.40549,63.76875417,7.798125699,990.643225,107.94323305,True,True,564.0,984.0,5
0.341717,6780.2962,58.84877021,9.934730041,797.6997888,115.21559716,False,False,,,4
0.395437,7718.84723,62.05308361,10.69690231,845.987531,124.39103395000001,True,True,1104.0,,5
0.91866,6680.44596,58.48646814,10.13266332,773.5202072,114.2220786,False,False,,,4
0.553875,8350.55745,58.48646814,10.13266332,966.900259,142.77759825,True,True,1344.0,1020.0,5
0.65877,6632.2644,60.82072058,5.654353323,1281.9944828,109.0461332,False,False,,,4
0.42617,6632.2644,60.82072058,5.654353323,1281.9944828,109.0461332,True,True,1068.0,,4
0.230184,6632.2644,60.82072058,5.654353323,1281.9944828,109.0461332,False,True,,,4
0.494788,6742.656004,58.76528124,3.535040588,2022.1160204,114.73876856,True,False,,,4
0.998823,6742.656004,58.76528124,3.535040588,2022.1160204,114.73876856,True,False,1308.0,,4
0.598643,6742.656004,58.76528124,3.535040588,2022.1160204,114.73876856,False,True,,660.0,4
0.256598,7143.231228,58.5396345,7.835960216,1033.620002,122.023844,False,True,,,4
0.403541,7143.231228,58.5396345,7.835960216,1033.620002,122.023844,False,False,,,4
0.399326,8929.039035,58.5396345,7.835960216,1292.0250025,152.529805,True,True,,,5
0.416935,5357.4234209999995,58.5396345,7.835960216,775.2150015000001,91.517883,False,False,,,3
0.593694,5357.4234209999995,58.5396345,7.835960216,775.2150015000001,91.517883,False,False,,,3
0.259738,7143.231228,58.5396345,7.835960216,1033.620002,122.023844,True,True,,696.0,4
0.816873,3335.6223179999997,64.12737376,14.10054372,288.57541305,52.015576530000004,False,True,,,3
0.845665,2223.748212,64.12737376,14.10054372,192.3836087,34.67705102,False,False,,,2
0.946132,3335.6223179999997,64.12737376,14.10054372,288.57541305,52.015576530000004,True,False,,,3
