pm_start,pm_end,length,lanes,on_ramp,off_ramp,on_ramp_name,off_ramp_name,caltrans_pm_start,caltrans_pm_end,length_warning,vds_id,vds_pm,vds_lanes,vds_source,vds_distance_mi,vds_n_candidates,on_ramp_vds_id,off_ramp_vds_id
0.0,0.674863,0.674863,4,False,False,,,28.20000076,27.499999496769437,ok,400190,0.08319214453172048,4,direct_tiebreak,0.0,2,,
0.674863,1.171556,0.49669300000000005,4,True,True,,,27.499999496769437,26.999999517256622,ok,400190,0.08319214453172048,4,nearest_upstream,-0.8400173554682795,0,403031,
1.171556,1.882883,0.711327,4,False,False,,,26.999999517256622,26.299998916638973,ok,400956,1.811299680276563,4,direct,0.0,1,,
1.882883,2.405378,0.5224949999999997,4,True,True,,,26.299998916638973,25.700000801697353,ok,400956,1.811299680276563,4,nearest_upstream,-0.3328308197234371,0,403027,
2.405378,2.716521,0.3111430000000004,4,False,False,,,25.700000801697353,25.399999960549376,ok,400793,2.621876657795178,4,direct,0.0,1,,
2.716521,2.929558,0.21303699999999992,4,True,False,,,25.399999960549376,25.200001017769484,ok,400740,2.811801753596989,5,direct,0.0,1,410372,
2.929558,3.173507,0.24394899999999975,6,True,True,,,25.200001017769484,25.000000363433763,ok,400740,2.811801753596989,5,nearest_upstream,-0.23973074640301117,0,,
3.173507,3.415605,0.24209799999999992,5,False,False,,,25.000000363433763,24.70000089295833,ok,400134,3.393713820787864,5,direct,0.0,1,,
3.415605,3.543115,0.12751,5,True,False,,,24.70000089295833,24.600000115878935,too_short,400442,3.5431147439583706,5,direct,0.0,1,403023,
3.543115,4.318644,0.7755290000000001,5,True,True,,,24.600000115878935,23.799999164216235,ok,410370,4.111949844252725,5,direct,0.0,1,403019,403013
4.318644,4.5084,0.18975600000000004,5,False,False,,,23.799999164216235,23.6000001935026,too_short,410370,4.111949844252725,5,nearest_upstream,-0.3015721557472757,0,,
4.5084,4.599798,0.09139799999999987,5,True,False,,,23.6000001935026,23.499999769374373,too_short,410370,4.111949844252725,5,nearest_upstream,-0.4421491557472752,0,403015,
4.599798,5.0295,0.4297019999999998,6,True,True,,,23.499999769374373,23.100000658972647,ok,400192,4.791248922572798,6,direct_tiebreak,0.0,3,403014,
5.0295,5.261141,0.23164100000000065,5,False,True,,,23.100000658972647,22.899999520528908,ok,400192,4.791248922572798,6,nearest_upstream,-0.3540715774272023,0,,
5.261141,5.495573,0.23443199999999997,5,False,False,,,22.899999520528908,22.600000151106034,ok,400942,5.4225512398526226,5,direct,0.0,1,,
5.495573,6.990631,1.4950579999999993,5,True,True,,,22.600000151106034,21.100000327548013,too_long,401068,6.012573206221905,5,direct_tiebreak,0.0,2,418464,
6.990631,7.140333,0.14970200000000045,4,False,False,,,21.100000327548013,20.999999894539727,too_short,401068,6.012573206221905,5,nearest_upstream,-1.0529087937780943,0,,
7.140333,7.549293,0.40895999999999955,3,False,False,,,20.999999894539727,20.60000067054875,ok,400225,7.491791868541266,4,direct,0.0,1,,
7.549293,7.591032,0.04173900000000064,4,True,True,,,20.60000067054875,20.49999989825469,too_short,400225,7.491791868541266,4,nearest_upstream,-0.07837063145873469,0,403009,
7.591032,8.038542,0.4475099999999994,3,False,False,,,20.49999989825469,20.0999999654318,ok,401072,7.816179578224167,4,direct,0.0,1,,
8.038542,8.208438,0.1698959999999996,5,True,False,,,20.0999999654318,19.899999378786834,too_short,400486,8.174995758363004,6,direct,0.0,1,,
8.208438,9.583847,1.3754090000000012,5,True,True,,,19.899999378786834,18.600000009823884,too_long,400312,8.774286088043157,6,direct_tiebreak,0.0,4,403007,
9.583847,9.964613,0.3807659999999995,4,False,False,,,18.600000009823884,18.20000050245048,ok,400670,9.891332161059873,5,direct,0.0,1,,
9.964613,10.172089,0.20747599999999977,4,True,True,,,18.20000050245048,18.00000003467715,ok,400463,10.150412157953166,5,direct,0.0,1,403004,
10.172089,10.865258,0.693169000000001,4,False,False,,,18.00000003467715,17.29999900980548,ok,401475,10.660129101010622,5,direct_tiebreak,0.0,2,,
10.865258,11.137705,0.27244699999999966,5,True,True,,,17.29999900980548,16.99999980990412,ok,408141,10.869778191546269,6,direct,0.0,1,403000,
11.137705,11.154578,0.01687300000000036,3,False,False,,,16.99999980990412,16.98312680990412,too_short,408141,10.869778191546269,6,nearest_upstream,-0.2763633084537318,0,,
11.154578,11.559932,0.4053539999999991,4,False,False,,,16.98312680990412,16.60000045817827,ok,400427,11.441634715569805,4,direct,0.0,1,,
11.559932,11.73033,0.1703980000000005,5,True,False,,,16.60000045817827,16.40000015151082,too_short,417676,11.580815077403619,5,direct,0.0,1,417677,
